Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
,Age,,,,,,,,,,,,,,
Ezequiel Duran,24,TEX,55,46,8,4,0.768,106,180,7,7,1,2,1,439
José Fermín,24,STL,2,4,0,1,0.594,67,13,1,2,2,0,0,61
Tyler Freeman,24,CLE,20,18,5,0,0.661,84,56,3,2,2,1,0,168
Andrés Giménez*,24,CLE,76,62,30,6,0.712,98,222,10,20,4,3,3,616
Nick Gonzales,24,PIT,12,13,0,1,0.616,67,40,0,4,1,2,0,128
Brusdar Graterol,24,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Vladimir Guerrero Jr.,24,TOR,78,94,5,3,0.788,117,267,23,9,0,4,5,682
DL Hall*,24,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Edouard Julien*,24,MIN,60,37,3,0,0.839,130,155,8,2,1,3,0,408
Buddy Kennedy,24,ARI,1,1,0,0,0.519,47,5,0,1,0,0,0,29
Alejandro Kirk,24,TOR,34,43,0,0,0.692,93,133,21,6,0,2,1,422
Heston Kjerstad*,24,BAL,3,3,0,0,0.748,106,14,0,0,0,0,0,33
Korey Lee,24,CHW,4,3,0,0,0.281,-22,9,0,0,0,0,0,70
Royce Lewis,24,MIN,36,52,6,1,0.921,150,119,5,2,0,0,0,239
Nick Loftin,24,KCR,10,10,2,0,0.803,121,27,0,1,0,1,0,68
MJ Melendez*,24,KCR,65,56,6,4,0.713,95,212,4,3,0,4,2,602
Calvin Mitchell*,24,PIT,0,0,0,0,0.2,-38,0,0,0,0,0,0,5
Garrett Mitchell*,24,MIL,10,7,1,1,0.761,106,29,0,0,0,1,0,73
Elehuris Montero,24,COL,40,39,0,0,0.716,82,121,5,5,0,3,0,307
Christopher Morel,24,CHC,62,70,6,2,0.821,116,197,7,2,1,2,0,429
Andrés Muñoz,24,SEA,0,0,0,0,,,0,0,0,0,0,0,0
Andrew Nardi*,24,MIA,0,0,0,0,,,0,0,0,0,0,0,0
Joey Ortiz,24,BAL,4,4,0,0,0.448,26,8,2,0,0,1,0,34
Cristian Pache,24,PHI,12,11,2,3,0.736,100,35,1,0,1,0,0,95
Isaac Paredes,24,TBR,71,98,1,0,0.84,131,240,11,20,0,1,0,571
Nick Pratto*,24,KCR,33,35,1,1,0.66,82,108,3,6,0,4,0,345
Esteury Ruiz,24,OAK,47,47,67,13,0.654,88,155,7,16,4,1,1,497
